X2021,X1.Accidental.drowning.and.submersion,M,X0,X1,X0.1,X1.1,X0.2,X1.2,X3,X1.3,X0.3,X1.4,X0.4,X1.5,X0.5,X0.6,X0.7,X0.8,X0.9,X0.10,X1.6,X0.11,X9,X1.7,X10
2021,1 Accidental drowning and submersion,F,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,5
2021,1 Accidental drowning and submersion,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1 Accidental drowning and submersion,T,1,1,1,1,0,1,4,1,1,1,0,2,0,0,0,0,0,0,1,0,14,1,15
2021,2 Accidental exposure to electric current,M,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2021,2 Accidental exposure to electric current,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,2 Accidental exposure to electric current,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,2 Accidental exposure to electric current,T,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2021,"3 Accidental exposure to smoke, fire and flames",M,2,0,0,0,0,0,0,1,1,0,3,0,0,0,3,0,0,0,0,0,8,2,10
2021,"3 Accidental exposure to smoke, fire and flames",F,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2021,"3 Accidental exposure to smoke, fire and flames",U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"3 Accidental exposure to smoke, fire and flames",T,3,0,0,0,0,0,0,1,3,0,3,0,0,0,3,0,0,0,0,0,11,2,13
2021,4 Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract,M,1,0,0,0,0,0,1,0,1,0,1,1,4,3,2,0,1,6,5,0,25,1,26
2021,4 Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract,F,0,0,0,0,0,1,0,1,1,0,0,0,2,1,2,3,4,0,9,0,24,0,24
2021,4 Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,4 Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract,T,1,0,0,0,0,1,1,1,2,0,1,1,6,4,4,3,5,6,14,0,49,1,50
2021,5 Accidental poisoning by and exposure to carbon monoxide from unspecified sources,M,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2
2021,5 Accidental poisoning by and exposure to carbon monoxide from unspecified sources,F,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2021,5 Accidental poisoning by and exposure to carbon monoxide from unspecified sources,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,5 Accidental poisoning by and exposure to carbon monoxide from unspecified sources,T,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,0,3
2021,6 Accidental poisoning by and exposure to drugs and other biological substances,M,0,0,0,6,24,64,68,69,40,38,59,27,32,14,3,1,1,0,0,0,404,42,446
2021,6 Accidental poisoning by and exposure to drugs and other biological substances,F,0,0,0,2,20,19,29,29,16,13,8,7,8,7,0,0,0,0,0,0,146,12,158
2021,6 Accidental poisoning by and exposure to drugs and other biological substances,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,6 Accidental poisoning by and exposure to drugs and other biological substances,T,0,0,0,8,44,83,97,98,56,51,67,34,40,21,3,1,1,0,0,0,550,54,604
2021,7 Accidental poisoning by and exposure to other and unspecified solid or liquid substances,M,0,0,0,2,0,0,1,5,3,3,2,5,5,3,0,0,0,0,0,0,29,0,29
2021,7 Accidental poisoning by and exposure to other and unspecified solid or liquid substances,F,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,1,0,0,0,0,7,0,7
2021,7 Accidental poisoning by and exposure to other and unspecified solid or liquid substances,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7 Accidental poisoning by and exposure to other and unspecified solid or liquid substances,T,0,0,0,2,0,2,1,7,4,3,2,6,5,3,0,1,0,0,0,0,36,0,36
2021,8 Acute and subacute endocarditis,M,0,0,0,0,0,0,0,0,1,0,1,2,1,2,1,1,0,1,0,0,9,1,10
2021,8 Acute and subacute endocarditis,F,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,3,0,7,1,8
2021,8 Acute and subacute endocarditis,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8 Acute and subacute endocarditis,T,0,0,0,0,0,0,0,1,1,0,1,2,1,2,2,3,0,2,3,0,16,2,18
2021,9 Acute appendicitis with localized peritonitis,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2021,9 Acute appendicitis with localized peritonitis,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,9 Acute appendicitis with localized peritonitis,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,9 Acute appendicitis with localized peritonitis,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2021,10 Acute bronchitis and bronchiolitis,M,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,6,0,6
2021,10 Acute bronchitis and bronchiolitis,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,3
2021,10 Acute bronchitis and bronchiolitis,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10 Acute bronchitis and bronchiolitis,T,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,4,0,0,9,0,9
2021,11 Acute myocardial infarction,M,0,0,0,0,0,0,2,3,8,11,24,34,57,70,78,70,79,112,97,0,628,17,645
2021,11 Acute myocardial infarction,F,0,0,0,0,0,0,0,0,2,3,7,11,24,21,38,51,71,71,131,0,429,1,430
2021,11 Acute myocardial infarction,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,11 Acute myocardial infarction,T,0,0,0,0,0,0,2,3,10,14,31,45,81,91,116,121,150,183,228,0,1057,18,1075
