calendar_year,cause,gender,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_40_44,age_45_49,age_50_54,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_plus,grand_total
2018,1 Intestinal infections due to other specified organisms,F,0,0,0,0,0,0,0,0,1,0,3,1,0,4,4,11,7,33
2018,1 Intestinal infections due to other specified organisms,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1 Intestinal infections due to other specified organisms,T,0,0,1,0,0,0,0,1,1,1,4,2,1,4,6,14,11,48
2018,2 Respiratory tuberculosis,M,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
2018,2 Respiratory tuberculosis,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2018,2 Respiratory tuberculosis,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2 Respiratory tuberculosis,T,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3
2018,3 Other tuberculosis,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,3 Other tuberculosis,F,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2018,3 Other tuberculosis,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,3 Other tuberculosis,T,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
2018,4 Meningococcal infection,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,4 Meningococcal infection,F,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
2018,4 Meningococcal infection,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,4 Meningococcal infection,T,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
2018,5 Septicemia,M,2,0,0,0,0,0,0,0,1,5,3,2,3,11,10,9,14,64
2018,5 Septicemia,F,0,0,0,0,1,0,0,1,2,0,1,4,7,8,13,17,32,91
2018,5 Septicemia,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,5 Septicemia,T,2,0,0,0,1,0,0,1,3,5,4,6,10,19,23,26,46,155
2018,6 Other zoonotic and bacterial diseases,M,0,1,0,0,0,0,0,0,0,3,1,1,4,5,3,2,3,25
2018,6 Other zoonotic and bacterial diseases,F,1,0,0,0,0,1,1,0,0,0,1,3,2,2,2,4,2,21
2018,6 Other zoonotic and bacterial diseases,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,6 Other zoonotic and bacterial diseases,T,1,1,0,0,0,1,1,0,0,3,2,4,6,7,5,6,5,46
2018,7 Other and unspecified arthropod-borne viral and hemorrhagic fevers,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7 Other and unspecified arthropod-borne viral and hemorrhagic fevers,F,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
2018,7 Other and unspecified arthropod-borne viral and hemorrhagic fevers,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7 Other and unspecified arthropod-borne viral and hemorrhagic fevers,T,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
2018,8 Herpesviral (herpes simplex) infections,M,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2018,8 Herpesviral (herpes simplex) infections,F,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2018,8 Herpesviral (herpes simplex) infections,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
