calendar_year,cause,ranking,total_deaths
2019,All other forms of chronic ischemic heart disease,2,1886
2019,"Malignant neoplasms of trachea, bronchus and lung",3,1523
2019,Other chronic obstructive pulmonary disease,4,1159
2019,Acute myocardial infarction,5,1061
2019,"Atherosclerotic cardiovascular disease, so described",6,678
2019,Accidental poisoning by and exposure to drugs and other biological substances,7,677
2019,"Stroke, not specified as hemorrhage or infarction",8,602
2019,Diabetes mellitus,9,569
2019,Other ill-defined and unknown causes of mortality,10,522
2019,Malignant neoplasms of colon,11,482
2019,Malignant neoplasms of  pancreas,12,476
2019,Malignant neoplasm of breast,13,440
2019,Malignant neoplasms of prostate,14,440
2019,Pneumonia due to other or unspecified organisms,15,432
2019,Congestive heart failure,16,430
2019,All other diseases of nervous system,17,332
2019,Alzheimer's disease,18,330
2019,All other diseases of respiratory system,19,305
2019,"Intentional self-harm (suicide) by hanging, strangulation and suffocation",20,302
2019,"Atrial fibrillation and atrial flutter, unspecified",21,271
2019,Hypertensive heart disease,22,263
2019,Renal failure,23,254
2019,Vascular disorders and obstruction of intestine without hernia,24,237
2019,Non-Hodgkin's lymphoma,25,233
2019,Intracerebral and other intracranial hemorrhage,26,228
2019,All other and unspecified accidents and their sequelae,27,224
2019,Malignant neoplasms of brain,28,220
2019,Parkinson's disease,29,219
2019,Malignant neoplasms of rectosigmoid junction and rectum,30,217
